section,text,page,chunk_id,is_table
**TABLE 1: Baseline information of study sample (n=286)**,"With an area under the curve (AUC) of 0.81 (0.76-0.86) and a p-value of 0.0001, the maximal p-SOFA exhibited good discrimination for 30-day mortality. The maximum PRISM III 24 had good discrimination for 30-day mortality, with the AUC of 0.75 (0.69-0.81) with a p-value=0.0001 (Figure _3_ ).",4,34,False
**TABLE 1: Baseline information of study sample (n=286)**,2022 Baloch et al. Cureus 14(1): e21055. DOI 10.7759/cureus.21055,4,35,False
**TABLE 1: Baseline information of study sample (n=286)**,4 of 8,4,36,False
**TABLE 1: Baseline information of study sample (n=286)**,**FIGURE 3: ROC curves analysis for relation of 30-day mortality using p- SOFA and PRISM III 24 scores in critically ill patients.**,5,37,False
**TABLE 1: Baseline information of study sample (n=286)**,PRISM: Pediatric Risk of Mortality; p-SOFA: Pediatric Sequential Organ Failure Assessment; ROC: receiver operating characteristic,5,38,False
**TABLE 1: Baseline information of study sample (n=286)**,"For the prediction of 30-day mortality at the cut-off value of p-SOFA>2, the sensitivity was 93.87%, specificity was 38.21%, PPV was 66.81%, NPV was 82.46% and accuracy was 69.93%. Whereas at the cut-off value of PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, PPV was 76.47%, NPV was 56.89% and accuracy was 65.03% (Table _2_ ).",5,39,False
**TABLE 1: Baseline information of study sample (n=286)**,"||**PRISM III 24 score**|**p-SOFA score**|**Duration of PICU stay**|
|---|---|---|---|
|PRISM III 24 score|1|0.712 (0.001*)|0.063 (0.290)|
|p-SOFA score|0.712 (0.001*)|1|0.054 (0.366)|
|Duration of PICU stay|0.063 (0.290)|0.054 (0.366)|1|
|Data expressed as Spearmen's rho (p-value)||||
|*Statistically significant||||",5,40,False
**TABLE 2: Correlation analysis between PRISM III 24 score and p-SOFA score and duration of PICU stay (n=286)**,PRISM: Pediatric Risk of Mortality; p-SOFA: Pediatric Sequential Organ Failure Assessment; PICU: Pediatric Intensive Care Unit,5,41,False
**TABLE 2: Correlation analysis between PRISM III 24 score and p-SOFA score and duration of PICU stay (n=286)**,"We observed that the p-SOFA score was positively associated with the PRISM III 24 score (r=0.712, p=0.001). No statistically significant correlation was found between PRISM III 24 score and duration of stay as well as between p-SOFA score and duration of hospital stay (Table _3_ ).",5,42,False
**TABLE 2: Correlation analysis between PRISM III 24 score and p-SOFA score and duration of PICU stay (n=286)**,2022 Baloch et al. Cureus 14(1): e21055. DOI 10.7759/cureus.21055,5,43,False
**TABLE 2: Correlation analysis between PRISM III 24 score and p-SOFA score and duration of PICU stay (n=286)**,5 of 8,5,44,False
**TABLE 2: Correlation analysis between PRISM III 24 score and p-SOFA score and duration of PICU stay (n=286)**,"||**30-day mortality**|**30-day mortality**||
|---|---|---|---|
||||**Statistics**|
||Yes|No||
|p-SOFA score||||
||153|76||
|> 2|(93.9%)|(61.8%)|Chi-square test=45.19 (p=0.001), Sensitivity=93.87%, Specificity=38.21%, PPV=66.81%,<br>NPV=82.46%, Accuracy=69.93%|
||10|47||
|â‰¤ 2||||
||(6.1%)|(38.2%)||
|PRISM III 24||||
|score||||
||91|28||
|> 8||||
||(55.8%)|(22.8%)|Chi-square test=31.54 (p=0.001), Sensitivity=55.83%, Specificity=77.24%, PPV=76.47%,|
||72|95|NPV=56.89%, Accuracy=65.03%|
|â‰¤ 8||||
||(44.2%)|(77.2%)||",6,45,False
**TABLE 2: Correlation analysis between PRISM III 24 score and p-SOFA score and duration of PICU stay (n=286)**,**TABLE 3: Diagnostic accuracy of p-SOFA and PRISM III 24 score by taking 30-day mortality (n=286)**,6,46,False
**TABLE 2: Correlation analysis between PRISM III 24 score and p-SOFA score and duration of PICU stay (n=286)**,PRISM: Pediatric Risk of Mortality; p-SOFA: Pediatric Sequential Organ Failure Assessment; PPV: positive predictive value; NPV: negative predictive value,6,47,False
**Discussion**,"In the PICU, scoring systems help healthcare managers determine a patient's prognosis and improve the decision-making process as well as the patient's outcome [9,17]. In a country like Pakistan, where tertiary care institutions are few, the outcome of PICU estimates the most effective use of limited resources and helps guide policy formation [3]. The use of scoring systems to predict PICU outcomes can also aid in prompt intervention [18]. However, developing the optimal scoring method for critically ill children admitted to the PICU remains a challenging task [19]. Different methods are used in PICUs for the prediction of severity of disease and risk of mortality, including Pediatric Index of Mortality (PIM and PIM2), Pediatric Risk of Mortality (PRISM, PRISM III), Sequential Organ Failure Assessment (SOFA), Pediatric Sequential Organ Failure Assessment Score (p-SOFA), and the Paediatric Logistic Organ Dysfunction (PELOD) score [1,2,5-9]. Although these scoring systems are effective in ICUs all over the world, it is important to evaluate them before using them in healthcare settings that are very different from where they were established [3,20,21]. Until now, the validation of the p-SOFA and PRISM III 24 scoring systems in Pakistani PICUs has not been extensively examined. Therefore, in this study, we evaluated the validity of the PRISM III 24 score and the p- SOFA score for predicting 30-day death in 286 critically ill children admitted to the PICU at a tertiary care hospital in Karachi. The 30-day death rate was predicted to be 57% in the current study, with the median age of non-survivors being 24 months. The higher number of clinical cases (92%) admitted to PICU might be the reason for the higher mortality rate. Similarly, in a Pakistani study, Quershi et al. [4] discovered that the median age of PICU children was 18 months and that the death rate was 28.7%, which was also higher than mortality rates documented by other validation studies. In addition, they also had a larger percentage of non-surgical patients (86%) in their research. Similarly, in an Indian study of 75 PICU children, Kumbar et al. discovered that 37.3% of the children died. They also discovered that older children (aged >15 years) had a greater death rate, whereas younger children had a higher survival rate. They did not, however, find a statistically significant association between age and death (p=0.513) [18].",6,48,False
**Discussion**,"In the current study, p-SOFA and PRISM III 24 scores at the time of admission to the PICU were found to be good predictors of death within 30 days. The probability of mortality increased in a stepwise way from smaller to larger p-SOFA and PRISM III 24 scores across patient sub-categories, with survivors having a significantly lower median p-SOFA and PRISM III 24 scores than non-survivors. Furthermore, the AUC value of 0.81 for the prediction of 30-day mortality was good for the p-SOFA score. This finding is comparable to that of El-Mashad et al., who reported a good AUC of 0.89 for the prediction of 30-day death in PICU children using the p-SOFA score [2]. Similarly, Matics et al. discovered a good AUC of 0.88 for the prediction of 30-day death in PICU infants using SOFA score in their investigation [14]. The PRISM III 24 score, on the other hand, had a lower AUC value of 0.75 for predicting 30-day mortality than the p-SOFA AUC value in the current investigation, according to ROC curve analysis [14]. Similarly, El-Mashad et al. also found that the SOFA score had a higher AUC than the PRISM score for the prediction of 30-day mortality (0.89 vs 0.84) in PICU children [2]. Another study by Zhou et al. also found that p-SOFA had higher predictive accuracy for the prognosis of PICU children with severe illness than PRISM III [22]. Lalitha et al. also found that p-SOFA had good accuracy (AUC=0.84) as compared to PRISM III (AUC=0.70) for the prediction of mortality [23]. In this",6,49,False
**Discussion**,2022 Baloch et al. Cureus 14(1): e21055. DOI 10.7759/cureus.21055,6,50,False
**Discussion**,6 of 8,6,51,False
**Discussion**,"study, we used >8 and >2 as the optimum PRISM III 24 and p-SOFA cut-off values for the prediction of 30day mortality. We found that p-SOFA (>2) had a greater sensitivity than PRISM III 24 (>8) (94% vs. 56%), while p-SOFA (>2) had a lower specificity than PRISM III 24 (>8) (38.2% vs 77.2%). Furthermore, p-SOFA (>2) had somewhat better accuracy than PRISM III 24 (>8) (70% vs 65%). El-Mashad et al. also discovered that the SOFA is more accurate than the PRISM score in predicting death in PICU children. They discovered that a SOFA score of more than 2 predicted death in 40% of PICU patients with 100% sensitivity and 5.2% specificity. At higher cut-off values of scoring systems for the prediction of 30-day mortality, they found p- SOFA score (cut-off >6.5) had sensitivity as 80.9% and specificity as 81.8%, whereas PRISM score (cut-off >17.2) had sensitivity as 70.6% and specificity as 82.3% [2]. We also found a positive correlation between the p-SOFA and PRISM III 24 score in PICU admitted children (r=0.712). El-Mashad et al. also revealed that the p-SOFA score was positively correlated with the PRISM score (r=0.59) [2].",7,52,False
**Discussion**,"Apart from the fact that p-SOFA was a better predictor of 30-day death among critically ill children than PRISM III in our study, the p-SOFA score offers other advantages over PRISM III. p-SOFA is free of cost and does not require the use of a calculator. p-SOFA has fewer calculation parameters than the PRISM III 24 score. p-SOFA is computed every day, providing a dynamic assessment of the progression of the disease, whereas PRISM is performed only at the time of admission. Because it is tailored to oxygen saturation (SPO2) values rather than partial pressure of oxygen (PaO2) readings, the p-SOFA does not need arterial blood gas analysis, which can be difficult to acquire in children [6,23-25]. With limited resources, there are just a few tertiary care referral institutions for pediatric admission in Pakistan. In such circumstances, p- SOFA can be used to determine which patients require critical care and can also aid in predicting the patients' prognosis. There are several limitations to our research study. All the data was collected from a single PICU, in comparison to other validation studies, the present study's sample size was relatively small. More studies with a larger sample size are required in the future to improve the accuracy of results.",7,53,False
**Conclusions**,Mortality among the children admitted to critical care units is high despite the use of advanced equipment and sophisticated techniques.,7,54,False
**Conclusions**,"p-SOFA and PRISM III 24 both have proven to be valuable in objective prediction in these patients. In this study, we compared the diagnostic accuracy of the Pediatric Risk of Mortality (PRISM) III score and Pediatric Sequential Organ Failure Assessment (p-SOFA) for the prediction of mortality in critically ill children and showed that the p-SOFA score is a good predictor for 30-day mortality in critically ill children with better accuracy than the PRISM III 24 score.",7,55,False
**Disclosures**,"**Human subjects:** Consent was obtained or waived by all participants in this study. Institutional Ethical Review Board National Institute of Child Health Karachi-75510 issued approval 42/2020. This is to inform you that the Ethical Review Committee of NICH has approved the study and permission is granted. **Animal subjects:** All authors have confirmed that this study did not involve animal subjects or tissue. **Conflicts of interest:** In compliance with the ICMJE uniform disclosure form, all authors declare the following: **Payment/services info:** All authors have declared that no financial support was received from any organization for the submitted work. **Financial relationships:** All authors have declared that they have no financial relationships at present or within the previous three years with any organizations that might have an interest in the submitted work. **Other relationships:** All authors have declared that there are no other relationships or activities that could appear to have influenced the submitted work.",7,56,False
